type_approval,country,source,confidence,evidence,generation,item,ta_pdf,issuer_prefix,issuer_authority,issuer_country,issuer_check,issuer_expected,issuer_table_source,issuer_note,issuer_authority_raw
e4-0021-01,Netherlands,TA-PDF: Manufacturing mark,belegt,Smart Tachograph G2 cards for The Netherlands,G2.1,Card - Smart Tachograph [Platform id 089233 on applet version 416304] JRC_DTLab/30-128/2019,https://dtc.jrc.ec.europa.eu/getFile_wocid195,Netherlands,RDW - Rijksdienst voor het Wegverkeer,Netherlands,bestaetigt,RDW - Rijksdienst voor het Wegverkeer,Bescheid,,RDW
e7-0004,Hungary,Ausstellerbehoerde,Annahme,KTI - Közlekedéstudományi Kutatóintézet,G2.1,Card - Smart Tachograph G2 on MultiApp V4.01 JRC_DTLab/A3-118/2018,https://dtc.jrc.ec.europa.eu/getFile_wocid198,Hungary,KTI - Közlekedéstudományi Kutatóintézet,Hungary,bestaetigt,KTI - Közlekedéstudományi Kutatóintézet,Liste,,MINISTRY FOR INNOVATION AND
e5-0380-01,Iceland,TA-PDF: Name of model,belegt,") Iceland 1,0",G2.1,Card - Tachograph G2 [Version 2.0.1.G on MultiApp 4.0.1] JRC_DTLab/A3-118/2018,https://dtc.jrc.ec.europa.eu/getFile_wocid194,Sweden,Transportstyrelsen - Swedish Transport Agency,Sweden,bestaetigt,Transportstyrelsen - Swedish Transport Agency,Bescheid,,TSV 2019-2522 Ent datum/Your date Er beteckning/Your ID 2019-05-20 Type appoval Application Iceland Till: (To:) Gemalto 
e5-0380-00,Iceland,TA-PDF: Name of model,belegt,) Iceland 1.0,G2.1,Card - Tachograph G2 [Version 2.0.1.G on MultiApp 4.0.1] JRC_DTLab/A3-118/2018,https://dtc.jrc.ec.europa.eu/getFile_wocid189,Sweden,Transportstyrelsen - Swedish Transport Agency,Sweden,bestaetigt,Transportstyrelsen - Swedish Transport Agency,Bescheid,,TSV 20 I 9-2522t2A19-07-05 v01 Gemalto Smart Tachograph Card G2 for Iceland 1.0 e5*0380 e5*0380*00 Omfattning: (Scope): 
e1-0011-00,Germany,Ausstellerbehoerde,Annahme,KBA - Kraftfahrt-Bundesamt,G2.1,Paper - Tacho2B N.A.,https://dtc.jrc.ec.europa.eu/getFile_wocid185,Germany,KBA - Kraftfahrt-Bundesamt,Germany,bestaetigt,KBA - Kraftfahrt-Bundesamt,Bescheid,,Kraftfahrt-Bundesamt DE-24932 Flensburg
e1-0010-00,Germany,Ausstellerbehoerde,Annahme,KBA - Kraftfahrt-Bundesamt,G2.1,Paper - Tacho2 N.A.,https://dtc.jrc.ec.europa.eu/getFile_wocid186,Germany,KBA - Kraftfahrt-Bundesamt,Germany,bestaetigt,KBA - Kraftfahrt-Bundesamt,Bescheid,,Kraftfahrt-Bundesamt DE-24932 Flensburg
e1-0009-00,Germany,Ausstellerbehoerde,Annahme,KBA - Kraftfahrt-Bundesamt,G2.1,Paper Tacho Simple N.A.,https://dtc.jrc.ec.europa.eu/getFile_wocid187,Germany,KBA - Kraftfahrt-Bundesamt,Germany,bestaetigt,KBA - Kraftfahrt-Bundesamt,Bescheid,,Kraftfahrt-Bundesamt DE-24932 Flensburg
e1-0008-00,Germany,Ausstellerbehoerde,Annahme,KBA - Kraftfahrt-Bundesamt,G2.1,Paper Tacho N.A.,https://dtc.jrc.ec.europa.eu/getFile_wocid188,Germany,KBA - Kraftfahrt-Bundesamt,Germany,bestaetigt,KBA - Kraftfahrt-Bundesamt,Bescheid,,Kraftfahrt-Bundesamt DE-24932 Flensburg
e5-0002-00,Sweden,Ausstellerbehoerde,Annahme,Transportstyrelsen - Swedish Transport Agency,G2.1,VU - SE5000-8 JRC_DTLab/A2-120/2019,https://dtc.jrc.ec.europa.eu/getFile_wocid190,Sweden,Transportstyrelsen - Swedish Transport Agency,Sweden,bestaetigt,Transportstyrelsen - Swedish Transport Agency,Bescheid,,TSV 2018-2819 Ert datum/Your date Er beteckning/four ID 2018-06-26 1221_003-990181 01 Till: (To) Stoneridge Electronics 
e5-0201-00 Upgrade,Sweden,Ausstellerbehoerde,Annahme,Transportstyrelsen - Swedish Transport Agency,G2.1,DSRC Module R08 (Upgrade) N.A.,https://dtc.jrc.ec.europa.eu/getFile_wocid191,Sweden,Transportstyrelsen - Swedish Transport Agency,Sweden,bestaetigt,Transportstyrelsen - Swedish Transport Agency,Bescheid,,TSV 201 8-5050 Ert datumlYour date Er beteckning^four lD 2018-12-13 1221 0A3-990620 01 Till: (To:) Stoneridge Electronic
e5-0201-01 Upgrade,Sweden,Ausstellerbehoerde,Annahme,Transportstyrelsen - Swedish Transport Agency,G2.1,DSRC Module R08 (Upgrade) N.A.,https://dtc.jrc.ec.europa.eu/getFile_wocid192,Sweden,Transportstyrelsen - Swedish Transport Agency,Sweden,bestaetigt,Transportstyrelsen - Swedish Transport Agency,Bescheid,,TSV 201 8-5050 Er beteckning/Your lD 2019-01-14 1221 004-s90620 01 Tiil: (To:) Stoneridge Electronics AB Adolfsbergsviig
e5-0201-02 Upgrade,Sweden,Ausstellerbehoerde,Annahme,Transportstyrelsen - Swedish Transport Agency,G2.1,DSRC Module R09 (Upgrade) N.A.,https://dtc.jrc.ec.europa.eu/getFile_wocid193,Sweden,Transportstyrelsen - Swedish Transport Agency,Sweden,bestaetigt,Transportstyrelsen - Swedish Transport Agency,Bescheid,,TSV 20 I 9-2226 120 I 9 -0 5 -20 v03 DSRC Module R09 e5*0201 e5* I 65 120 I 4* 5 02/20 I 8* 020 1 * 02 Omfattning: (Scop
e4-0021-00,Netherlands,TA-PDF: Manufacturing mark,belegt,Smart Tachograph G2 cards for The Netherlands,G2.1,Card - IDeal Drive DT V3.0 JRC_DTLab/30-128/2019,https://dtc.jrc.ec.europa.eu/getFile_wocid173,Netherlands,RDW - Rijksdienst voor het Wegverkeer,Netherlands,bestaetigt,RDW - Rijksdienst voor het Wegverkeer,Bescheid,,RDW
e5-0201-03,Sweden,Ausstellerbehoerde,Annahme,Transportstyrelsen - Swedish Transport Agency,G2.1,DSRC Module XAB N.A.,https://dtc.jrc.ec.europa.eu/getFile_wocid183,Sweden,Transportstyrelsen - Swedish Transport Agency,Sweden,bestaetigt,Transportstyrelsen - Swedish Transport Agency,Bescheid,,TSV 2019-2226 Ert datum/Your date Er beteckning/Your ID 2019-06-05 1221_007-990199 02 Till: (To:) Stoneridge Electronics
e4-0002-00,Slovakia,TA-PDF: Manufacturing mark,belegt,Tachograph G2 cards for Slovakia issued by,G2.1,Card - Tachograph G2 [Version 2.0.1.G on MultiApp 4.0.1] JRC_DTLab/A3-118/2018,https://dtc.jrc.ec.europa.eu/getFile_wocid181,Netherlands,RDW - Rijksdienst voor het Wegverkeer,Netherlands,bestaetigt,RDW - Rijksdienst voor het Wegverkeer,Bescheid,,RDW
e4-0009-01,Denmark,TA-PDF: Manufacturing mark,belegt,Tachograph G2 cards for Denmark,G2.1,Card - Tachograph G2 [Version 2.0.1.G on MultiApp 4.0.1] JRC_DTLab/A3-118/2018,https://dtc.jrc.ec.europa.eu/getFile_wocid182,Netherlands,RDW - Rijksdienst voor het Wegverkeer,Netherlands,bestaetigt,RDW - Rijksdienst voor het Wegverkeer,Bescheid,,RDW
e4-0011-00,Estonia,TA-PDF: Manufacturing mark,belegt,Tachograph G2 cards for Estonia,G2.1,Card - Tachograph G2 [Version 2.0.1.G on MultiApp 4.0.1] JRC_DTLab/A3-118/2018,https://dtc.jrc.ec.europa.eu/getFile_wocid179,Netherlands,RDW - Rijksdienst voor het Wegverkeer,Netherlands,bestaetigt,RDW - Rijksdienst voor het Wegverkeer,Bescheid,,RDW
e4-0013-00,Latvia,TA-PDF: Manufacturing mark,belegt,Tachograph G2 cards for Latvia,G2.1,Card - Tachograph G2 [Version 2.0.1.G on MultiApp 4.0.1] JRC_DTLab/A3-118/2018,https://dtc.jrc.ec.europa.eu/getFile_wocid180,Netherlands,RDW - Rijksdienst voor het Wegverkeer,Netherlands,bestaetigt,RDW - Rijksdienst voor het Wegverkeer,Bescheid,,RDW
e5-0340-01,Sweden,Ausstellerbehoerde,Annahme,Transportstyrelsen - Swedish Transport Agency,G2.1,Card - Tachograph G2 [Version 2.0.1.G on MultiApp 4.0.1] JRC_DTLab/A3-118/2018,https://dtc.jrc.ec.europa.eu/getFile_wocid184,Sweden,Transportstyrelsen - Swedish Transport Agency,Sweden,bestaetigt,Transportstyrelsen - Swedish Transport Agency,Bescheid,,TSV 2018-2684 Ert datum/Your date Er beteckning/Your ID 2018-06-08 Type appoval Application Norway Till: (To:) Gemalto N
e5-0201-02 Correction 01,Sweden,Ausstellerbehoerde,Annahme,Transportstyrelsen - Swedish Transport Agency,G2.1,DSRC Antenna Module R09 N.A.,https://dtc.jrc.ec.europa.eu/getFile_wocid178,Sweden,Transportstyrelsen - Swedish Transport Agency,Sweden,bestaetigt,Transportstyrelsen - Swedish Transport Agency,Bescheid,,TSV 2019-2226 Ert datum/Your date Er beteckning/Your ID 2019-05-09 1221_006-990620 01 Till: (To:) Stoneridge Electronics
e5-0201-02,Sweden,Ausstellerbehoerde,Annahme,Transportstyrelsen - Swedish Transport Agency,G2.1,DSRC Antenna Module R08 N.A.,https://dtc.jrc.ec.europa.eu/getFile_wocid177,Sweden,Transportstyrelsen - Swedish Transport Agency,Sweden,bestaetigt,Transportstyrelsen - Swedish Transport Agency,Bescheid,,TSV 2019-2226 Ert datum/Your date Er beteckning/Your ID 2019-05-09 1221_006-990620 01 Till: (To:) Stoneridge Electronics
e1-84-02,Germany,Ausstellerbehoerde,Annahme,KBA - Kraftfahrt-Bundesamt,G2.1,VU - DTCO 1381 JRC_DTLab/A1-119/2018,https://dtc.jrc.ec.europa.eu/getFile_wocid176,Germany,KBA - Kraftfahrt-Bundesamt,Germany,bestaetigt,KBA - Kraftfahrt-Bundesamt,Bescheid,,Kraftfahrt-Bundesamt DE-24932 Flensburg
e4-0003-01,Germany,TA-PDF: Manufacturing mark,belegt,Tachograph G2 cards for Germany issued by,G2.1,Card - Tachograph G2 [Version 2.0.1.G on MultiApp 4.0.1] JRC_DTLab/A3-118/2018,https://dtc.jrc.ec.europa.eu/getFile_wocid175,Netherlands,RDW - Rijksdienst voor het Wegverkeer,Netherlands,bestaetigt,RDW - Rijksdienst voor het Wegverkeer,Bescheid,,RDW
e1-222-10,Germany,Ausstellerbehoerde,Annahme,KBA - Kraftfahrt-Bundesamt,G1,VU - EFAS 4 - V03.52 N.A.,https://dtc.jrc.ec.europa.eu/getFile_wocid169,Germany,KBA - Kraftfahrt-Bundesamt,Germany,bestaetigt,KBA - Kraftfahrt-Bundesamt,Bescheid,,Kraftfahrt-Bundesamt DE-24932 Flensburg EWG - BAUARTGENEHMIGUNG (EWG-BG) EEC - Component type
e1-0005-00 Korr. 01,Germany,Ausstellerbehoerde,Annahme,KBA - Kraftfahrt-Bundesamt,G2.1,EFAS-4 DU N.A.,https://dtc.jrc.ec.europa.eu/getFile_wocid174,Germany,KBA - Kraftfahrt-Bundesamt,Germany,bestaetigt,KBA - Kraftfahrt-Bundesamt,Bescheid,,Kraftfahrt-Bundesamt DE-24932 Flensburg
e5-0360-00,Poland,JRC-Kartenname,belegt,Card - PWPW PL Tach G2 Cards v 1.0 JRC_DTLab/A3-118/2018,G2.1,Card - PWPW PL Tach G2 Cards v 1.0 JRC_DTLab/A3-118/2018,https://dtc.jrc.ec.europa.eu/getFile_wocid172,Sweden,Transportstyrelsen - Swedish Transport Agency,Sweden,bestaetigt,Transportstyrelsen - Swedish Transport Agency,Bescheid,,TSV 2019-522 Ert datum/Your date Er beteckning/Your ID 2019-01-24 BG-073-1/2019 Till: (To:) Polska Wytwörnia Papieröw Wa
e4-0006-00,Romania,TA-PDF: Manufacturing mark,belegt,Tachograph G2 cards for Romania,G2.1,Card - Tachograph G2 [Version 2.0.1.G on MultiApp 4.0.1] JRC_DTLab/A3-118/2018,https://dtc.jrc.ec.europa.eu/getFile_wocid170,Netherlands,RDW - Rijksdienst voor het Wegverkeer,Netherlands,bestaetigt,RDW - Rijksdienst voor het Wegverkeer,Bescheid,,RDW
e1-0005-00,Germany,Ausstellerbehoerde,Annahme,KBA - Kraftfahrt-Bundesamt,G2.1,EFAS-4 DU N.A.,https://dtc.jrc.ec.europa.eu/getFile_wocid168,Germany,KBA - Kraftfahrt-Bundesamt,Germany,bestaetigt,KBA - Kraftfahrt-Bundesamt,Bescheid,,Kraftfahrt-Bundesamt DE-24932 Flensburg
e1-0002-01,Germany,Ausstellerbehoerde,Annahme,KBA - Kraftfahrt-Bundesamt,G2.1,MS - 2185 N.A.,https://dtc.jrc.ec.europa.eu/getFile_wocid167,Germany,KBA - Kraftfahrt-Bundesamt,Germany,bestaetigt,KBA - Kraftfahrt-Bundesamt,Bescheid,,Kraftfahrt-Bundesamt DE-24932 Flensburg
e4-0009-00,Denmark,TA-PDF: Manufacturing mark,belegt,Tachograph G2 cards for Denmark,G2.1,Card - Tachograph G2 [Version 2.0.1.G on MultiApp 4.0.1] JRC_DTLab/A3-118/2018,https://dtc.jrc.ec.europa.eu/getFile_wocid164,Netherlands,RDW - Rijksdienst voor het Wegverkeer,Netherlands,bestaetigt,RDW - Rijksdienst voor het Wegverkeer,Bescheid,,RDW
e4-0012-00,Sweden,TA-PDF: Manufacturing mark,belegt,Tachograph G2 cards for Sweden,G2.1,Card - Tachograph G2 [Version 2.0.1.G on MultiApp 4.0.1] JRC_DTLab/A3-118/2018,https://dtc.jrc.ec.europa.eu/getFile_wocid166,Netherlands,RDW - Rijksdienst voor het Wegverkeer,Netherlands,bestaetigt,RDW - Rijksdienst voor het Wegverkeer,Bescheid,,RDW
e4-0003-00,Germany,TA-PDF: Manufacturing mark,belegt,Tachograph G2 cards for Germany issued by,G2.1,Card - Tachograph G2 [Version 2.0.1.G on MultiApp 4.0.1] JRC_DTLab/A3-118/2018,https://dtc.jrc.ec.europa.eu/getFile_wocid160,Netherlands,RDW - Rijksdienst voor het Wegverkeer,Netherlands,bestaetigt,RDW - Rijksdienst voor het Wegverkeer,Bescheid,,RDW
e4-0007-00,United Kingdom,TA-PDF: Manufacturing mark,belegt,Tachograph G2 cards for United Kingdom issued,G2.1,Card - Tachograph G2 [Version 2.0.1.G on MultiApp 4.0.1] JRC_DTLab/A3-118/2018,https://dtc.jrc.ec.europa.eu/getFile_wocid161,Netherlands,RDW - Rijksdienst voor het Wegverkeer,Netherlands,bestaetigt,RDW - Rijksdienst voor het Wegverkeer,Bescheid,,RDW
e4-0005-00,Belgium,TA-PDF: Manufacturing mark,belegt,Tachograph G2 cards for Belgium,G2.1,Card - Tachograph G2 [Version 2.0.1.G on MultiApp 4.0.1] JRC_DTLab/A3-118/2018,https://dtc.jrc.ec.europa.eu/getFile_wocid163,Netherlands,RDW - Rijksdienst voor het Wegverkeer,Netherlands,bestaetigt,RDW - Rijksdienst voor het Wegverkeer,Bescheid,,RDW
e4-0010-00,Finland,TA-PDF: Manufacturing mark,belegt,Tachograph G2 cards for Finland,G2.1,Card - Tachograph G2 [Version 2.0.1.G on MultiApp 4.0.1] JRC_DTLab/A3-118/2018,https://dtc.jrc.ec.europa.eu/getFile_wocid165,Netherlands,RDW - Rijksdienst voor het Wegverkeer,Netherlands,bestaetigt,RDW - Rijksdienst voor het Wegverkeer,Bescheid,,RDW
e4-0004-00,Ireland,TA-PDF: Manufacturing mark,belegt,Tachograph G2 cards for Ireland,G2.1,Card - Tachograph G2 [Version 2.0.1.G on MultiApp 4.0.1] JRC_DTLab/A3-118/2018,https://dtc.jrc.ec.europa.eu/getFile_wocid162,Netherlands,RDW - Rijksdienst voor het Wegverkeer,Netherlands,bestaetigt,RDW - Rijksdienst voor het Wegverkeer,Bescheid,,RDW
e20-1,Poland,Ausstellerbehoerde,Annahme,GUM - Główny Urząd Miar,G1,MS - DTMS V01 JRC_DTLab/19-117/2019,https://dtc.jrc.ec.europa.eu/getFile_wocid171,Poland,GUM - Główny Urząd Miar,Poland,bestaetigt,TDT - Transportowy Dozór Techniczny,Bescheid,GUM - Główny Urząd Miar,Glöwny Urzad Miar
e5-0201-01,Sweden,Ausstellerbehoerde,Annahme,Transportstyrelsen - Swedish Transport Agency,G2.1,DSRC - DSRC Antenna Module R08 v01 ,https://dtc.jrc.ec.europa.eu/getFile_wocid159,Sweden,Transportstyrelsen - Swedish Transport Agency,Sweden,bestaetigt,Transportstyrelsen - Swedish Transport Agency,Bescheid,,TSV 2018-5050 Ert datum/Your date Er beteckning/Your ID 2019-01-14 1221_004-990620 01 Till: (To:) Stoneridge Electronics
e5-0201-00,Sweden,Ausstellerbehoerde,Annahme,Transportstyrelsen - Swedish Transport Agency,G2.1,DSRC - DSRC Antenna Module R08 ,https://dtc.jrc.ec.europa.eu/getFile_wocid158,Sweden,Transportstyrelsen - Swedish Transport Agency,Sweden,bestaetigt,Transportstyrelsen - Swedish Transport Agency,Bescheid,,TSV 2018-5050 Ert datum/Your date Er beteckning/Your ID 2018-12-13 1221_003-990620 01 Till: (To:) Stoneridge Electronics
e1-0002-00,Germany,Ausstellerbehoerde,Annahme,KBA - Kraftfahrt-Bundesamt,G2.1,MS - VDO 2185 N.A.,https://dtc.jrc.ec.europa.eu/getFile_wocid156,Germany,KBA - Kraftfahrt-Bundesamt,Germany,bestaetigt,KBA - Kraftfahrt-Bundesamt,Bescheid,,Kraftfahrt-Bundesamt DE-24932 Flensburg
e1-218-03,Germany,Ausstellerbehoerde,Annahme,KBA - Kraftfahrt-Bundesamt,G1,Paper - TACHO SIMPLE N.A.,https://dtc.jrc.ec.europa.eu/getFile_wocid157,Germany,KBA - Kraftfahrt-Bundesamt,Germany,bestaetigt,KBA - Kraftfahrt-Bundesamt,Bescheid,,Kraftfahrt-Bundesamt DE-24932 Flensburg EWG - BAUARTGENEHMIGUNG (EWG-BG) EEC - Component type
e1-196-05,Germany,Ausstellerbehoerde,Annahme,KBA - Kraftfahrt-Bundesamt,G1,Paper - Tacho N.A.,https://dtc.jrc.ec.europa.eu/getFile_wocid155,Germany,KBA - Kraftfahrt-Bundesamt,Germany,bestaetigt,KBA - Kraftfahrt-Bundesamt,Bescheid,,Kraftfahrt-Bundesamt DE-24932 Flensburg EWG - BAUARTGENEHMIGUNG (EWG-BG) EEC - Component type
e1-222-09,Germany,Ausstellerbehoerde,Annahme,KBA - Kraftfahrt-Bundesamt,G1,VU - EFAS 4 - V03.51 N.A.,https://dtc.jrc.ec.europa.eu/getFile_wocid154,Germany,KBA - Kraftfahrt-Bundesamt,Germany,bestaetigt,KBA - Kraftfahrt-Bundesamt,Bescheid,,Kraftfahrt-Bundesamt DE-24932 Flensburg EWG - BAUARTGENEHMIGUNG (EWG-BG) EEC - Component type
e1-227-02,Germany,Ausstellerbehoerde,Annahme,KBA - Kraftfahrt-Bundesamt,G1,Card - tru/cos tacho V1.1 N.A.,https://dtc.jrc.ec.europa.eu/getFile_wocid153,Germany,KBA - Kraftfahrt-Bundesamt,Germany,bestaetigt,KBA - Kraftfahrt-Bundesamt,Bescheid,,Kraftfahrt-Bundesamt DE-24932 Flensburg EWG - BAUARTGENEHMIGUNG (EWG-BG) EEC - Component type
e37-0006,Türkiye,Ausstellerbehoerde,Annahme,Sanayi ve Teknoloji Bakanlığı - D.G. for Metrology,G1,MS - PARS PMS-101 N.A.,https://dtc.jrc.ec.europa.eu/getFile_wocid152,Türkiye,Sanayi ve Teknoloji Bakanlığı - D.G. for Metrology,Türkiye,bestaetigt,Sanayi ve Teknoloji Bakanlığı,Bescheid,,MINISTRY OF INDUSTRY AND TECHNOLOGY D.G. for Metrology and Standardization
e1-240-01,Germany,eNN-Praefix (e1),Annahme,AETR-Karte: Zielland ist NICHT das Ausstellerland,G1,Card - Morpho Tachograph N V2.0 - AETR N.A.,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-222-08,Germany,Ausstellerbehoerde,Annahme,KBA - Kraftfahrt-Bundesamt,G1,VU - EFAS 4 - V03.50 N.A.,https://dtc.jrc.ec.europa.eu/getFile_wocid150,Germany,KBA - Kraftfahrt-Bundesamt,Germany,bestaetigt,KBA - Kraftfahrt-Bundesamt,Bescheid,,Kraftfahrt-Bundesamt DE-24932 Flensburg EWG - BAUARTGENEHMIGUNG (EWG-BG) EEC - Component type
e31-01,Bosnia and Herzegovina,JRC-Kartenname,belegt,Card - Digital Tachograph Bosnia and Herzegovina N.A.,G1,Card - Digital Tachograph Bosnia and Herzegovina N.A.,,Moldova,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),Ministry of Infrastructure and Regional Development,unsicher,andere Uebersichten fuehren E31 als Bosnien und Herzegowina,
e1-232-03,Germany,eNN-Praefix (e1),Annahme,AETR-Karte: Zielland ist NICHT das Ausstellerland,G1,Card - tru/cos tacho V1.1-AETR N.A.,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-0001-01,Germany,eNN-Praefix (e1),Annahme,,G1,M1N1-Adapter N.A.,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-232-02,Germany,eNN-Praefix (e1),Annahme,AETR-Karte: Zielland ist NICHT das Ausstellerland,G1,Card - tru/cos tacho V1.1-AETR N.A.,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e2-40,France,eNN-Praefix (e2),Annahme,,G1,Card - MultiApp ID Tachograph V 1.3 N.A.,,France,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),Préfet du Nord / CNRV / DREAL,Bescheid,Ministère de l'économie et des finances (DGE) - Préfecture du Nord,
e2-38,France,eNN-Praefix (e2),Annahme,,G1,Card - MultiApp ID Tachograph V 1.3 N.A.,,France,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),Préfet du Nord / CNRV / DREAL,Bescheid,Ministère de l'économie et des finances (DGE) - Préfecture du Nord,
e2-39,France,eNN-Praefix (e2),Annahme,,G1,Card - MultiApp ID Tachograph V 1.3 N.A.,,France,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),Préfet du Nord / CNRV / DREAL,Bescheid,Ministère de l'économie et des finances (DGE) - Préfecture du Nord,
e5-0002,Sweden,eNN-Praefix (e5),Annahme,,G1,VU - SE5000 Revision 7.6 with HWID 4.03 and/or HWID 3.01 and SWID P8KS N.A.,,Sweden,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),Transportstyrelsen - Swedish Transport Agency,Bescheid,,
e1-235-02,Germany,eNN-Praefix (e1),Annahme,,G1,Card - TRU/COS Tachograph Card N.A.,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-212-07,Germany,eNN-Praefix (e1),Annahme,AETR-Karte: Zielland ist NICHT das Ausstellerland,G1,Card - Morpho Tachograph N V2.0 - AETR N.A.,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-224-01,Germany,eNN-Praefix (e1),Annahme,,G1,Card - Tachosmart Ãsterreich N/A.,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-239,Germany,eNN-Praefix (e1),Annahme,,G1,Paper Thermopapierrolle fÃ¼r digitale Tachographen N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-0001-00,Germany,eNN-Praefix (e1),Annahme,,G1,M1N1-Adapter N.A.,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e22-101,Russia,eNN-Praefix (e22),Annahme,,G1,Card - Digital Tachograph card N/A,,Russia,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),Rosstandart,Bescheid,Ministry of Transport - Agency of Automobile Transport,
e5-0101,Sweden,eNN-Praefix (e5),Annahme,,G1,MS - TACH2 HW version 04 and SW version 02 N.A.,,Sweden,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),Transportstyrelsen - Swedish Transport Agency,Bescheid,,
e1-227-01,Germany,eNN-Praefix (e1),Annahme,,G1,Card - tru/cos tacho V1.1 N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-190-04,Germany,eNN-Praefix (e1),Annahme,,G1,Blumberg DT 001(Paper) N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-84-23,Germany,eNN-Praefix (e1),Annahme,,G1,VU - DTCO 1381 Release 2.1a N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-174-07,Germany,eNN-Praefix (e1),Annahme,,G1,Original VDO Druckerpapier fÃ¼r DTCO N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-235-01,Germany,eNN-Praefix (e1),Annahme,,G1,Card - TRU/COS Tachograph Card N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-215-03,Germany,eNN-Praefix (e1),Annahme,,G1,TACHO2b N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-84-22,Germany,eNN-Praefix (e1),Annahme,,G1,VU - DTCO 1381 Release 2.2a N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-232-01,Germany,eNN-Praefix (e1),Annahme,AETR-Karte: Zielland ist NICHT das Ausstellerland,G1,Card - tru/cos tacho V1.1-AETR N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-196-04,Germany,eNN-Praefix (e1),Annahme,,G1,Paper Tacho N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e25-003,Croatia,eNN-Praefix (e25),Annahme,,G1,Card - Digital Tachograph Card N/A,,Croatia,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),DZM - Državni zavod za mjeriteljstvo,Bescheid,,
e1-84-21,Germany,eNN-Praefix (e1),Annahme,,G1,VU - DTCO 1381 Release 2.1T N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e3-1002-01,Italy,eNN-Praefix (e3),Annahme,,G1,Card - Smart Tacho v2.1 N.A.,,Italy,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),MIT - Ministero delle Infrastrutture e dei Trasporti,Bescheid,,
e1-236-01,Germany,eNN-Praefix (e1),Annahme,,G1,Card - STARCOS 3.4 ID Tachograph P3 N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-217-03,Germany,eNN-Praefix (e1),Annahme,,G1,EPR700 N/A,https://dtc.jrc.ec.europa.eu/getFile_wocid101,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
